report_date,category,revenue
12/05/2022,Blouse,14344.0
12/05/2022,Bottom,618.0
12/05/2022,Ethnic Dress,12645.0
12/05/2022,Saree,7253.0
12/05/2022,Set,601922.0
12/05/2022,Top,98059.0
12/05/2022,Western Dress,88489.0
12/05/2022,kurta,336981.0
13/05/2022,Blouse,11900.0
13/05/2022,Bottom,1855.0
13/05/2022,Ethnic Dress,14759.0
13/05/2022,Saree,4595.0
13/05/2022,Set,621602.0
13/05/2022,Top,82767.0
13/05/2022,Western Dress,102914.0
13/05/2022,kurta,316085.0
14/05/2022,Blouse,11906.0
14/05/2022,Bottom,3005.0
14/05/2022,Ethnic Dress,16123.0
14/05/2022,Saree,3024.0
14/05/2022,Set,606409.0
14/05/2022,Top,87097.0
14/05/2022,Western Dress,109951.0
14/05/2022,kurta,300963.0
15/05/2022,Blouse,8990.0
15/05/2022,Bottom,3005.0
15/05/2022,Ethnic Dress,17760.0
15/05/2022,Saree,772.0
15/05/2022,Set,613733.0
15/05/2022,Top,100952.0
15/05/2022,Western Dress,129835.0
15/05/2022,kurta,316430.0
16/05/2022,Blouse,7952.0
16/05/2022,Bottom,1752.0
16/05/2022,Ethnic Dress,20237.0
16/05/2022,Saree,885.0
16/05/2022,Set,597757.0
16/05/2022,Top,107367.0
16/05/2022,Western Dress,130541.0
16/05/2022,kurta,332958.0
17/05/2022,Blouse,4940.0
17/05/2022,Bottom,919.0
17/05/2022,Ethnic Dress,20595.0
17/05/2022,Saree,885.0
17/05/2022,Set,588989.0
17/05/2022,Top,117033.0
17/05/2022,Western Dress,137985.0
17/05/2022,kurta,323721.0
18/05/2022,Blouse,6824.0
18/05/2022,Bottom,919.0
18/05/2022,Ethnic Dress,17114.0
18/05/2022,Saree,1805.0
18/05/2022,Set,560105.0
18/05/2022,Top,105352.0
18/05/2022,Western Dress,157548.0
18/05/2022,kurta,309863.0
19/05/2022,Blouse,10071.0
19/05/2022,Bottom,317.0
19/05/2022,Ethnic Dress,9873.0
19/05/2022,Saree,2486.0
19/05/2022,Set,558726.0
19/05/2022,Top,106801.0
19/05/2022,Western Dress,219896.0
19/05/2022,kurta,296828.0
20/05/2022,Blouse,12368.0
20/05/2022,Bottom,602.0
20/05/2022,Ethnic Dress,5281.0
20/05/2022,Saree,3168.0
20/05/2022,Set,512460.0
20/05/2022,Top,93754.0
20/05/2022,Western Dress,251772.0
20/05/2022,kurta,305259.0
21/05/2022,Blouse,10502.0
21/05/2022,Bottom,1421.0
21/05/2022,Ethnic Dress,9696.0
21/05/2022,Saree,3133.0
21/05/2022,Set,492156.0
21/05/2022,Top,103337.0
21/05/2022,Western Dress,239067.0
21/05/2022,kurta,297273.0
22/05/2022,Blouse,7358.0
22/05/2022,Bottom,1421.0
22/05/2022,Ethnic Dress,12010.0
22/05/2022,Saree,1567.0
22/05/2022,Set,526864.0
22/05/2022,Top,126122.0
22/05/2022,Western Dress,187395.0
22/05/2022,kurta,323719.0
23/05/2022,Blouse,8233.0
23/05/2022,Bottom,1120.0
23/05/2022,Ethnic Dress,17719.0
23/05/2022,Saree,1770.0
23/05/2022,Set,628323.0
23/05/2022,Top,146617.0
23/05/2022,Western Dress,192643.0
23/05/2022,kurta,339540.0
24/05/2022,Blouse,10915.0
24/05/2022,Bottom,301.0
24/05/2022,Ethnic Dress,18566.0
24/05/2022,Saree,1770.0
24/05/2022,Set,733898.0
24/05/2022,Top,160902.0
24/05/2022,Western Dress,215010.0
24/05/2022,kurta,371518.0
25/05/2022,Blouse,15403.0
25/05/2022,Bottom,1337.0
25/05/2022,Ethnic Dress,22896.0
25/05/2022,Saree,3337.0
25/05/2022,Set,772740.0
25/05/2022,Top,170208.0
25/05/2022,Western Dress,236006.0
25/05/2022,kurta,409500.0
26/05/2022,Blouse,14482.0
26/05/2022,Bottom,1367.0
